date,open
2021-03-22,3067.85
2021-03-19,3029.23
2021-03-18,3101.00
2021-03-17,3073.22
2021-03-16,3104.97
2021-03-15,3074.57
2021-03-12,3075.00
2021-03-11,3104.01
2021-03-10,3098.45
2021-03-09,3017.99
2021-03-08,3015.00
2021-03-05,3005.00
2021-03-04,3012.00
2021-03-03,3081.18
2021-03-02,3143.47
2021-03-01,3127.89
2021-02-26,3095.20
2021-02-25,3136.74
2021-02-24,3166.75
2021-02-23,3127.03
2021-02-22,3208.13
2021-02-19,3328.23
2021-02-18,3282.42
2021-02-17,3263.60
2021-02-16,3254.05
2021-02-12,3250.00
2021-02-11,3292.00
2021-02-10,3314.00
2021-02-09,3312.49
2021-02-08,3358.50
2021-02-05,3319.00
2021-02-04,3330.00
2021-02-03,3425.01
2021-02-02,3380.00
2021-02-01,3242.36
2021-01-29,3230.00
2021-01-28,3235.04
2021-01-27,3341.49
2021-01-26,3296.36
2021-01-25,3328.50
2021-01-22,3304.31
2021-01-21,3293.00
2021-01-20,3181.99
2021-01-19,3107.00
2021-01-15,3123.02
2021-01-14,3167.52
2021-01-13,3128.44
2021-01-12,3120.00
2021-01-11,3148.01
2021-01-08,3180.00
2021-01-07,3157.00
2021-01-06,3146.48
2021-01-05,3166.01
2021-01-04,3270.00
2020-12-31,3275.00
2020-12-30,3341.00
2020-12-29,3309.94
2020-12-28,3194.00
2020-12-24,3193.90
2020-12-23,3205.00
2020-12-22,3202.84
2020-12-21,3200.01
2020-12-18,3243.99
2020-12-17,3250.00
2020-12-16,3176.01
2020-12-15,3181.01
2020-12-14,3143.00
2020-12-11,3096.66
2020-12-10,3088.99
2020-12-09,3167.89
2020-12-08,3158.90
2020-12-07,3156.48
2020-12-04,3198.21
2020-12-03,3205.46
2020-12-02,3221.65
2020-12-01,3188.50
2020-11-30,3208.48
2020-11-27,3211.26
2020-11-25,3141.87
2020-11-24,3100.50
2020-11-23,3116.70
2020-11-20,3117.02
2020-11-19,3105.31
2020-11-18,3134.00
2020-11-17,3183.54
2020-11-16,3093.20
2020-11-13,3122.00
2020-11-12,3159.95
2020-11-11,3061.78
2020-11-10,3095.02
2020-11-09,3231.03
2020-11-06,3304.64
2020-11-05,3319.97
2020-11-04,3159.99
2020-11-03,3018.53
2020-11-02,3061.74
2020-10-30,3157.75
2020-10-29,3201.27
2020-10-28,3249.30
2020-10-27,3224.94
2020-10-26,3198.74
2020-10-23,3191.00
2020-10-22,3189.87
2020-10-21,3212.50
2020-10-20,3222.28
2020-10-19,3299.61
2020-10-16,3363.23
2020-10-15,3292.01
2020-10-14,3447.00
2020-10-13,3467.99
2020-10-12,3349.94
2020-10-09,3210.00
2020-10-08,3224.99
2020-10-07,3135.00
2020-10-06,3165.00
2020-10-05,3145.84
2020-10-02,3153.63
2020-10-01,3208.00
2020-09-30,3141.14
2020-09-29,3175.39
2020-09-28,3148.85
2020-09-25,3054.86
2020-09-24,2977.79
2020-09-23,3120.43
2020-09-22,3033.84
2020-09-21,2906.50
2020-09-18,3031.74
2020-09-17,3009.25
2020-09-16,3179.99
2020-09-15,3136.16
2020-09-14,3172.94
2020-09-11,3208.69
2020-09-10,3307.22
2020-09-09,3202.99
2020-09-08,3144.00
2020-09-04,3318.00
2020-09-03,3485.00
2020-09-02,3547.00
2020-09-01,3489.58
2020-08-31,3408.99
2020-08-28,3423.00
2020-08-27,3450.05
2020-08-26,3351.11
2020-08-25,3294.99
2020-08-24,3310.15
2020-08-21,3295.00
2020-08-20,3252.00
2020-08-19,3303.01
2020-08-18,3212.00
2020-08-17,3173.12
2020-08-14,3178.18
2020-08-13,3182.99
2020-08-12,3108.00
2020-08-11,3113.20
2020-08-10,3170.31
2020-08-07,3224.01
2020-08-06,3194.36
2020-08-05,3143.77
2020-08-04,3101.21
2020-08-03,3180.51
2020-07-31,3244.00
2020-07-30,3014.00
2020-07-29,3030.99
2020-07-28,3054.27
2020-07-27,3062.00
2020-07-24,2930.00
2020-07-23,3098.27
2020-07-22,3125.00
2020-07-21,3232.49
